"ID задачи","Проект","Теги","Заголовок","Заявитель","Создана","Обновлена","Завершенная","Приоритет","Тип","Состояние","Исполнитель","Подсистема","Версии исправления","Затронутые версии","Исправлено в сборке","Описание","Голоса"
"12V-68","Наталья Соловьева, 12 поток, Venus","Звезда,Sprint7","При PUT запросе добавления продуктов в корзину  с некорректным типом данных в списке продуктов productsList приходит ответ 500","root","3 Oct 2023 13:02","3 Oct 2023 13:23",,"Обычная","Ошибка","Зарегистрирована","Нет исполнителя","Нет подсистемы","Нет версии исправления","Неизвестно","Следующая сборка","Окружение: адрес сервера \<<https://62110dc2-a988-443c-a5d5-00011679112d.serverhub.praktikum-services.ru>\>

Шаги воспроизведения:

Отправить PUT запрос существующей корзины /api/v1/orders/2

В теле запроса указать:

{

&nbsp;&nbsp;&nbsp;&nbsp;""productsList"": ""ФФ""

}

ОР:  Серая зона

ФР: 500 Inernal Server Error","0"
"12V-67","Наталья Соловьева, 12 поток, Venus","Звезда,Sprint7","При PUT запросе добавления продуктов в корзину без параметра quantity в списке продуктов productsList приходит ответ 200 OK","root","3 Oct 2023 12:47","3 Oct 2023 13:21",,"Обычная","Ошибка","Зарегистрирована","Нет исполнителя","Нет подсистемы","Нет версии исправления","Неизвестно","Следующая сборка","Окружение: адрес сервера <https://62110dc2-a988-443c-a5d5-00011679112d.serverhub.praktikum-services.ru>

Шаги воспроизведения:

Отправить PUT запрос существующей корзины /api/v1/orders/2

В теле указать:

{

&nbsp;&nbsp;&nbsp;&nbsp;""productsList"": [

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;{

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;""id"": 1

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;},

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;{

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;""id"": 5

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;},

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;{

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;""id"": 4

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;}

&nbsp;&nbsp;&nbsp;&nbsp;]

}

ОР:  Серая зона

ФР: 200 OK

{

&nbsp;&nbsp;&nbsp;&nbsp;""id"": 1,

&nbsp;&nbsp;&nbsp;&nbsp;""userId"": **null**,

&nbsp;&nbsp;&nbsp;&nbsp;""deliveryPrice"": 0,

&nbsp;&nbsp;&nbsp;&nbsp;""deliveryPriceOur"": 33,

&nbsp;&nbsp;&nbsp;&nbsp;""deliveryTime"": ""20\~25"",

&nbsp;&nbsp;&nbsp;&nbsp;""wareHouse"": ""Чердак"",

&nbsp;&nbsp;&nbsp;&nbsp;""courierService"": ""На метле уюта"",

&nbsp;&nbsp;&nbsp;&nbsp;""status"": 0,

&nbsp;&nbsp;&nbsp;&nbsp;""productsList"": [

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;{

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;""id"": 1,

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;""quantity"": ""1аundefined""

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;},

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;{

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;""id"": 5,

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;""quantity"": ""1аundefined""

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;},

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;{

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;""id"": 3,

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;""quantity"": 1

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;},

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;{

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;""id"": 4,

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;""quantity"": ""1аundefined""

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;}

&nbsp;&nbsp;&nbsp;&nbsp;],

&nbsp;&nbsp;&nbsp;&nbsp;""productsCost"": 0,

&nbsp;&nbsp;&nbsp;&nbsp;""finalCost"": 99

}","0"
"12V-66","Наталья Соловьева, 12 поток, Venus","Звезда,Sprint7","При запросе корзины /api/v1/orders/2 с несуществующим authToken приходит ответ 200 OK","root","3 Oct 2023 12:27","3 Oct 2023 12:38",,"Обычная","Ошибка","Зарегистрирована","Нет исполнителя","Нет подсистемы","Нет версии исправления","Неизвестно","Следующая сборка","**Окружение:** адрес сервера <https://62110dc2-a988-443c-a5d5-00011679112d.serverhub.praktikum-services.ru>

**Шаги воспроизведения:**

Отправить GET запрос существующей корзины /api/v1/orders/2

В заголовке указать не существующий authToken:

{ ""Authorization"": Bearer jknnFApafP4a }

**ОР:** 401 Unauthorized 

{ ""code"": 401, ""message"": ""Unauthorized"", }

**ФР:** 200 OK

[

&nbsp;&nbsp;&nbsp;&nbsp;{

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;""id"": 1,

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;""name"": ""Сок Jumex апельсин без сахара"",

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;""price"": 149,

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;""weight"": 473,

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;""units"": ""мл"",

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;""quantity"": 1

&nbsp;&nbsp;&nbsp;&nbsp;},

&nbsp;&nbsp;&nbsp;&nbsp;{

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;""id"": 3,

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;""name"": ""Газированный напиток Pepsi"",

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;""price"": 109,

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;""weight"": 1,

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;""units"": ""л"",

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;""quantity"": 1

&nbsp;&nbsp;&nbsp;&nbsp;},

&nbsp;&nbsp;&nbsp;&nbsp;{

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;""id"": 4,

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;""name"": ""Sprite классический"",

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;""price"": 79,

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;""weight"": 900,

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;""units"": ""мл"",

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;""quantity"": 1

&nbsp;&nbsp;&nbsp;&nbsp;},

&nbsp;&nbsp;&nbsp;&nbsp;{

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;""id"": 5,

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;""name"": ""Сок Rich яблоко-киви-шпинат"",

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;""price"": 349,

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;""weight"": 900,

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;""units"": ""мл"",

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;""quantity"": 1

&nbsp;&nbsp;&nbsp;&nbsp;}

]","0"
"12V-60","Наталья Соловьева, 12 поток, Venus","Звезда,Sprint7","При отправке параметра deliveryTime больше допустимого, включая минуты, в запросе на доставку ""Привезем быстро"" /fast-delivery/v3.1.1/calculate-delivery.xml приходит ответ 200 OK, isItPossibleToDeliver=""true""","root","28 Sep 2023 22:53","3 Oct 2023 07:41",,"Обычная","Ошибка","Зарегистрирована","Нет исполнителя","Нет подсистемы","Нет версии исправления","Неизвестно","Следующая сборка","**Окружение:** адрес сервера \<<https://8112b454-03e0-458d-b557-df4a3602a59e.serverhub.praktikum-services.ru>\>

**Шаги воспроизведения:**

Отправить POST запрос на доставку ""Привезем быстро"" /fast-delivery/v3.1.1/calculate-delivery.xml

В теле указать:

\<InputModel\>

&nbsp;&nbsp;&nbsp;&nbsp;\<productsCount\>0\</productsCount\>

&nbsp;&nbsp;&nbsp;&nbsp;\<productsWeight\>1\</productsWeight\>

&nbsp;&nbsp;&nbsp;&nbsp;\<deliveryTime\>21:01\</deliveryTime\>

\</InputModel\>

**ОР:** Код и статус ответа 200 OK \<response name=""Привезём быстро"" isItPossibleToDeliver=""false""\>

**ФР:** 200 OK

\<response name=""Привезём быстро"" isItPossibleToDeliver=""true"" hostDeliveryCost=""23"" clientDeliveryCost=""0""\>

&nbsp;&nbsp;&nbsp;&nbsp;\<toBeDeliveredTime\>

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;\<min\>25\</min\>

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;\<max\>30\</max\>

&nbsp;&nbsp;&nbsp;&nbsp;\</toBeDeliveredTime\>

\</response\>","0"
"12V-65","Наталья Соловьева, 12 поток, Venus","Звезда,Sprint7","При отправке запроса на удаление корзины /api/v1/orders/4 приходит ответ 404 Not Found","root","28 Sep 2023 23:25","28 Sep 2023 23:37",,"Обычная","Ошибка","Зарегистрирована","Нет исполнителя","Нет подсистемы","Нет версии исправления","Неизвестно","Следующая сборка","**Окружение:** адрес сервера <https://8112b454-03e0-458d-b557-df4a3602a59e.serverhub.praktikum-services.ru>

**Шаги воспроизведения:**

1. Отправить POST запрос на создание корзины /api/v1/orders

В теле указать:

{

&nbsp;&nbsp;&nbsp;&nbsp;""productsList"": [

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;{

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;""id"": 1,

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;""quantity"": 1

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;},

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;{

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;""id"": 5,

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;""quantity"": 1

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;},

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;{

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;""id"": 3,

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;""quantity"": 1

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;},

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;{

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;""id"": 4,

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;""quantity"": 1

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;}

&nbsp;&nbsp;&nbsp;&nbsp;]

}

2\. Отправить GET запрос для проверки создания корзины /api/v1/orders/4

ОР: 200 OK 

3\. Отправить DELETE запрос на удаление корзины /api/v1/orders/4



**ОР:** Код и статус ответа 200 OK

**ФР:**404 Not Found

{

&nbsp;&nbsp;&nbsp;&nbsp;""code"": 404,

&nbsp;&nbsp;&nbsp;&nbsp;""message"": ""Корзина с id=4 не найдена""

}","0"
"12V-64","Наталья Соловьева, 12 поток, Venus","Звезда,Sprint7","При отправке запроса параметра deliveryTime другог типа на доставку ""Привезем быстро"" /fast-delivery/v3.1.1/calculate-delivery.xml приходит ответ 200 OK","root","28 Sep 2023 23:16","28 Sep 2023 23:19",,"Обычная","Ошибка","Зарегистрирована","Нет исполнителя","Нет подсистемы","Нет версии исправления","Неизвестно","Следующая сборка","**Окружение:** адрес сервера \<<https://8112b454-03e0-458d-b557-df4a3602a59e.serverhub.praktikum-services.ru>\>

**Шаги воспроизведения:**

Отправить POST запрос на доставку ""Привезем быстро"" /fast-delivery/v3.1.1/calculate-delivery.xml

В теле указать:

\<InputModel\>

&nbsp;&nbsp;&nbsp;&nbsp;\<productsCount\>0\</productsCount\>

&nbsp;&nbsp;&nbsp;&nbsp;\<productsWeight\>1\</productsWeight\>

&nbsp;&nbsp;&nbsp;&nbsp;\<deliveryTime\>АА\</deliveryTime\>

\</InputModel\>

**ОР:** Код и статус ответа 400 Bad Request

**ФР:** 200 OK

\<response name=""Привезём быстро"" isItPossibleToDeliver=""true"" hostDeliveryCost=""23"" clientDeliveryCost=""0""\>

&nbsp;&nbsp;&nbsp;&nbsp;\<toBeDeliveredTime\>

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;\<min\>25\</min\>

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;\<max\>30\</max\>

&nbsp;&nbsp;&nbsp;&nbsp;\</toBeDeliveredTime\>

\</response\>","0"
"12V-63","Наталья Соловьева, 12 поток, Venus","Звезда,Sprint7","При отправке запроса с отрицательным параметром deliveryTime на доставку ""Привезем быстро"" /fast-delivery/v3.1.1/calculate-delivery.xml приходит ответ 200 OK","root","28 Sep 2023 23:10","28 Sep 2023 23:14",,"Обычная","Ошибка","Зарегистрирована","Нет исполнителя","Нет подсистемы","Нет версии исправления","Неизвестно","Следующая сборка","**Окружение:** адрес сервера <https://8112b454-03e0-458d-b557-df4a3602a59e.serverhub.praktikum-services.ru>

**Шаги воспроизведения:**

Отправить POST запрос на доставку ""Привезем быстро"" /fast-delivery/v3.1.1/calculate-delivery.xml

В теле указать:

\<InputModel\>

&nbsp;&nbsp;&nbsp;&nbsp;\<productsCount\>0\</productsCount\>

&nbsp;&nbsp;&nbsp;&nbsp;\<productsWeight\>1\</productsWeight\>

&nbsp;&nbsp;&nbsp;&nbsp;\<deliveryTime\>-1\</deliveryTime\>

\</InputModel\>

**ОР:** Код и статус ответа 400 Bad Request

**ФР:** 200 OK

\<response name=""Привезём быстро""/\>","0"
"12V-62","Наталья Соловьева, 12 поток, Venus","Звезда,Sprint7","При отправке запроса без параметра deliveryTime на доставку ""Привезем быстро"" /fast-delivery/v3.1.1/calculate-delivery.xml приходит ответ 200 OK","root","28 Sep 2023 23:04","28 Sep 2023 23:08",,"Обычная","Ошибка","Зарегистрирована","Нет исполнителя","Нет подсистемы","Нет версии исправления","Неизвестно","Следующая сборка","**Окружение:** адрес сервера \<<https://8112b454-03e0-458d-b557-df4a3602a59e.serverhub.praktikum-services.ru>\>

**Шаги воспроизведения:**

Отправить POST запрос на доставку ""Привезем быстро"" /fast-delivery/v3.1.1/calculate-delivery.xml

В теле указать:

\<InputModel\>

&nbsp;&nbsp;&nbsp;&nbsp;\<productsCount\>0\</productsCount\>

&nbsp;&nbsp;&nbsp;&nbsp;\<productsWeight\>1\</productsWeight\>

&nbsp;&nbsp;&nbsp;&nbsp;

\</InputModel\>

**ОР:** Код и статус ответа 400 Bad Request

**ФР:** 500 Internal Server Error

{

&nbsp;&nbsp;&nbsp;&nbsp;""code"": 500,

&nbsp;&nbsp;&nbsp;&nbsp;""message"": ""Cannot read property '0' of undefined""

}","0"
"12V-61","Наталья Соловьева, 12 поток, Venus","Звезда,Sprint7","При отправке пустого параметра deliveryTime на доставку ""Привезем быстро"" /fast-delivery/v3.1.1/calculate-delivery.xml приходит ответ 200 OK","root","28 Sep 2023 22:59","28 Sep 2023 23:02",,"Обычная","Ошибка","Зарегистрирована","Нет исполнителя","Нет подсистемы","Нет версии исправления","Неизвестно","Следующая сборка","**Окружение:** адрес сервера <https://8112b454-03e0-458d-b557-df4a3602a59e.serverhub.praktikum-services.ru>

**Шаги воспроизведения:**

Отправить POST запрос на доставку ""Привезем быстро"" /fast-delivery/v3.1.1/calculate-delivery.xml

В теле указать:

\<InputModel\>

&nbsp;&nbsp;&nbsp;&nbsp;\<productsCount\>0\</productsCount\>

&nbsp;&nbsp;&nbsp;&nbsp;\<productsWeight\>1\</productsWeight\>

&nbsp;&nbsp;&nbsp;&nbsp;\<deliveryTime\>\</deliveryTime\>

\</InputModel\>

**ОР:** Код и статус ответа 400 Bad Request

**ФР:** 200 OK

\<response name=""Привезём быстро"" isItPossibleToDeliver=""true"" hostDeliveryCost=""23"" clientDeliveryCost=""0""\>

&nbsp;&nbsp;&nbsp;&nbsp;\<toBeDeliveredTime\>

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;\<min\>25\</min\>

&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;\<max\>30\</max\>

&nbsp;&nbsp;&nbsp;&nbsp;\</toBeDeliveredTime\>

\</response\>","0"
"12V-59","Наталья Соловьева, 12 поток, Venus","Звезда,Sprint7","При отправке параметра deliveryTime меньше допустимого, включая минуты, в запросе на доставку ""Привезем быстро"" /fast-delivery/v3.1.1/calculate-delivery.xml приходит ответ 200 OK","root","28 Sep 2023 22:49","28 Sep 2023 22:52",,"Обычная","Ошибка","Зарегистрирована","Нет исполнителя","Нет подсистемы","Нет версии исправления","Неизвестно","Следующая сборка","**Окружение:** адрес сервера <https://8112b454-03e0-458d-b557-df4a3602a59e.serverhub.praktikum-services.ru>

**Шаги воспроизведения:**

Отправить POST запрос на доставку ""Привезем быстро"" /fast-delivery/v3.1.1/calculate-delivery.xml

В теле указать:

\<InputModel\>

&nbsp;&nbsp;&nbsp;&nbsp;\<productsCount\>0\</productsCount\>

&nbsp;&nbsp;&nbsp;&nbsp;\<productsWeight\>1\</productsWeight\>

&nbsp;&nbsp;&nbsp;&nbsp;\<deliveryTime\>6:59\</deliveryTime\>

\</InputModel\>

**ОР:** Код и статус ответа 400 Bad Request

**ФР:** 200 OK

\<response name=""Привезём быстро""/\>","0"
"12V-57","Наталья Соловьева, 12 поток, Venus","Звезда,Sprint7","При отправке параметра deliveryTime меньше допустимого в запросе на доставку ""Привезем быстро"" /fast-delivery/v3.1.1/calculate-delivery.xml приходит ответ 200 OK","root","28 Sep 2023 22:37","28 Sep 2023 22:48",,"Обычная","Ошибка","Зарегистрирована","Нет исполнителя","Нет подсистемы","Нет версии исправления","Неизвестно","Следующая сборка","**Окружение:** адрес сервера <https://8112b454-03e0-458d-b557-df4a3602a59e.serverhub.praktikum-services.ru>

**Шаги воспроизведения:**

Отправить POST запрос на доставку ""Привезем быстро"" /fast-delivery/v3.1.1/calculate-delivery.xml

В теле указать:

\<InputModel\>

&nbsp;&nbsp;&nbsp;&nbsp;\<productsCount\>0\</productsCount\>

&nbsp;&nbsp;&nbsp;&nbsp;\<productsWeight\>1\</productsWeight\>

&nbsp;&nbsp;&nbsp;&nbsp;\<deliveryTime\>6\</deliveryTime\>

\</InputModel\>

**ОР:** Код и статус ответа 400 Bad Request

**ФР:** 200 OK

\<response name=""Привезём быстро""/\>","0"
"12V-58","Наталья Соловьева, 12 поток, Venus","Звезда,Sprint7","При отправке параметра deliveryTime больше допустимого в запросе на доставку ""Привезем быстро"" /fast-delivery/v3.1.1/calculate-delivery.xml приходит ответ 200 OK","root","28 Sep 2023 22:41","28 Sep 2023 22:46",,"Обычная","Ошибка","Зарегистрирована","Нет исполнителя","Нет подсистемы","Нет версии исправления","Неизвестно","Следующая сборка","**Окружение:** адрес сервера <https://8112b454-03e0-458d-b557-df4a3602a59e.serverhub.praktikum-services.ru>

**Шаги воспроизведения:**

Отправить POST запрос на доставку ""Привезем быстро"" /fast-delivery/v3.1.1/calculate-delivery.xml

В теле указать:

\<InputModel\>

&nbsp;&nbsp;&nbsp;&nbsp;\<productsCount\>0\</productsCount\>

&nbsp;&nbsp;&nbsp;&nbsp;\<productsWeight\>1\</productsWeight\>

&nbsp;&nbsp;&nbsp;&nbsp;\<deliveryTime\>22\</deliveryTime\>

\</InputModel\>

**ОР:** Код и статус ответа 400 Bad Request

**ФР:** 200 OK

\<response name=""Привезём быстро""/\>","0"
"12V-56","Наталья Соловьева, 12 поток, Venus","Звезда,Sprint7","При отправке запроса без параметра productsWeight на доставку ""Привезем быстро"" /fast-delivery/v3.1.1/calculate-delivery.xml приходит ответ 500 Inernal Server Error","root","28 Sep 2023 22:29","28 Sep 2023 22:32",,"Обычная","Ошибка","Зарегистрирована","Нет исполнителя","Нет подсистемы","Нет версии исправления","Неизвестно","Следующая сборка","**Окружение:** адрес стенда <https://50fbd201-907a-4407-aa50-78ddf5ce7380.serverhub.praktikum-services.ru>

**Шаги воспроизведения:**

Отправить POST запрос на доставку ""Привезем быстро"" /fast-delivery/v3.1.1/calculate-delivery.xml

В теле указать:

\<InputModel\>

&nbsp;&nbsp;&nbsp;&nbsp;\<productsCount\>8\</productsCount\>

&nbsp;&nbsp;&nbsp;&nbsp;

&nbsp;&nbsp;&nbsp;&nbsp;\<deliveryTime\>20\</deliveryTime\>

\</InputModel\>

**ОР:** Код и статус ответа 400 Bad Request

**ФР:** 500 Inernal Server Error

{

""code"": 500,

""message"": ""Cannot read property '0' of undefined""

}","0"
"12V-53","Наталья Соловьева, 12 поток, Venus","Звезда,Sprint7","При отправке запроса без параметра productsCount на доставку ""Привезем быстро"" /fast-delivery/v3.1.1/calculate-delivery.xml приходит ответ 500 Inernal Server Error","root","28 Sep 2023 21:49","28 Sep 2023 22:28",,"Обычная","Ошибка","Зарегистрирована","Нет исполнителя","Нет подсистемы","Нет версии исправления","Неизвестно","Следующая сборка","**Окружение:** адрес стенда https://50fbd201-907a-4407-aa50-78ddf5ce7380.serverhub.praktikum-services.ru

**Шаги воспроизведения:**

Отправить POST запрос на доставку ""Привезем быстро"" /fast-delivery/v3.1.1/calculate-delivery.xml

В теле указать:



```xml
<productsWeight>1</productsWeight>
<deliveryTime>20</deliveryTime>
```

**ОР:** Код и статус ответа 400 Bad Request

**ФР:** 500 Inernal Server Error

{
""code"": 500,
""message"": ""Cannot read property '0' of undefined""
}","0"
